SiteDataTypeID,ParentID,IsFolder,SortOrder,Source,Name,SiteName,Units,TimeInterval,Parameter,TableName,FileIndex,Provider,ConnectionString,Expression,Notes
System.Int32,System.Int32,System.Boolean,System.Int32,System.String,System.String,System.String,System.String,System.String,System.String,System.String,System.Int32,System.String,System.String,System.String,System.String
429,421,False,173,cr10x,Average CFS,Billings,,Irregular,,billing_173,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=15,,
430,421,False,174,cr10x,Max CFS,Billings,,Irregular,,billing_174,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=16,,
431,421,False,175,cr10x,Min CFS,Billings,,Irregular,,billing_175,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=18,,
432,364,True,176,,Buckhorn,,,,,,0,,,,
433,432,True,177,,60 minute data,,,,,,0,,,,
434,433,False,178,cr10x,Average Battery,Buckhorn,,Irregular,,buckhor_178,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=60;ColumnNumber=5,,
435,433,False,179,cr10x,Average CAN_HT_PT,Buckhorn,,Irregular,,buckhor_179,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=60;ColumnNumber=6,,
436,433,False,180,cr10x,Average CFS,Buckhorn,,Irregular,,buckhor_180,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=60;ColumnNumber=7,,
437,433,False,181,cr10x,Average GATE_HGT,Buckhorn,,Irregular,,buckhor_181,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=60;ColumnNumber=8,,
438,432,True,182,,24 hour data,,,,,,0,,,,
439,438,False,183,cr10x,Average Battery,Buckhorn,,Irregular,,buckhor_183,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=24;ColumnNumber=4,,
440,438,False,184,cr10x,Max CAN_HT_PT,Buckhorn,,Irregular,,buckhor_184,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=24;ColumnNumber=5,,
441,438,False,185,cr10x,Average CAN_HT_PT,Buckhorn,,Irregular,,buckhor_185,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=24;ColumnNumber=7,,
442,438,False,186,cr10x,Min CAN_HT_PT,Buckhorn,,Irregular,,buckhor_186,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=24;ColumnNumber=8,,
443,438,False,187,cr10x,Max CFS,Buckhorn,,Irregular,,buckhor_187,0,Cr10xSeries,FileName=c:\pc208w\bin\buckhorn.DAT;interval=24;ColumnNumber=10,,
